,file,algorithm,slots,runtime
195,data_30-0.32-6194.in,code2,5,4.677100e-02
196,data_100-0.08-8321.in,code1,-1,1.000000e+02
197,data_100-0.08-8321.in,code2,-1,1.000000e+02
198,data_100-0.16-1278.in,code1,-1,1.000000e+02
199,data_100-0.16-1278.in,code2,-1,1.000000e+02
200,data_80-0.64-3749.in,code1,-1,1.000000e+02
201,data_80-0.64-3749.in,code2,-1,1.000000e+02
202,data_70-0.64-487.in,code1,-1,1.000000e+02
203,data_70-0.64-487.in,code2,-1,1.000000e+02
204,data_90-0.08-9665.in,code1,-1,1.000000e+02
205,data_90-0.08-9665.in,code2,-1,1.000000e+02
206,data_90-0.02-3705.in,code1,-1,1.000000e+02
207,data_90-0.02-3705.in,code2,-1,1.000000e+02
208,data_70-0.32-2275.in,code1,-1,1.000000e+02
209,data_70-0.32-2275.in,code2,-1,1.000000e+02
210,data_50-0.04-8105.in,code1,3,5.691800e-02
211,data_50-0.04-8105.in,code2,3,5.948900e-02
212,data_10-0.16-3401.in,code1,2,1.800000e-05
213,data_10-0.16-3401.in,code2,2,6.000000e-06
214,data_20-0.16-334.in,code1,4,1.530000e-04
215,data_20-0.16-334.in,code2,4,1.340000e-04
216,data_60-0.02-487.in,code1,-1,1.000000e+02
217,data_60-0.02-487.in,code2,-1,1.000000e+02
218,data_30-0.04-5840.in,code1,2,1.550000e-04
219,data_30-0.04-5840.in,code2,2,1.300000e-05
220,data_100-0.16-334.in,code1,-1,1.000000e+02
221,data_100-0.16-334.in,code2,-1,1.000000e+02
222,data_60-0.16-2405.in,code1,-1,1.000000e+02
223,data_60-0.16-2405.in,code2,-1,1.000000e+02
224,data_10-0.02-2275.in,code1,2,1.600000e-05
225,data_10-0.02-2275.in,code2,2,5.000000e-06
226,data_30-0.08-721.in,code1,3,2.120000e-04
227,data_30-0.08-721.in,code2,3,2.200000e-05
228,data_30-0.08-2405.in,code1,3,1.900000e-04
229,data_30-0.08-2405.in,code2,3,9.400000e-05
230,data_30-0.16-579.in,code1,4,4.031000e-03
231,data_30-0.16-579.in,code2,4,4.210000e-03
232,data_60-0.04-6726.in,code1,3,4.731000e-03
233,data_60-0.04-6726.in,code2,3,3.783000e-03
234,data_50-0.16-4783.in,code1,-1,1.000000e+02
235,data_50-0.16-4783.in,code2,-1,1.000000e+02
236,data_10-0.02-9806.in,code1,2,1.500000e-05
237,data_10-0.02-9806.in,code2,2,5.000000e-06
238,data_20-0.64-7215.in,code1,7,3.476200e-02
239,data_20-0.64-7215.in,code2,7,2.295300e-02
240,data_10-0.16-6573.in,code1,3,1.500000e-05
241,data_10-0.16-6573.in,code2,3,6.000000e-06
242,data_30-0.02-6489.in,code1,2,1.270000e-04
243,data_30-0.02-6489.in,code2,2,1.400000e-05
244,data_20-0.64-8321.in,code1,7,6.145700e-02
245,data_20-0.64-8321.in,code2,7,6.624200e-02
246,data_80-0.08-9544.in,code1,-1,1.000000e+02
247,data_80-0.08-9544.in,code2,-1,1.000000e+02
248,data_80-0.08-133.in,code1,-1,1.000000e+02
249,data_80-0.08-133.in,code2,-1,1.000000e+02
250,data_100-0.32-3749.in,code1,-1,1.000000e+02
251,data_100-0.32-3749.in,code2,-1,1.000000e+02
252,data_2-0.64-9806.in,code1,1,2.000000e-06
253,data_2-0.64-9806.in,code2,2,3.000000e-06
254,data_90-0.32-6194.in,code1,-1,1.000000e+02
255,data_90-0.32-6194.in,code2,-1,1.000000e+02
256,data_100-0.02-183.in,code1,-1,1.000000e+02
257,data_100-0.02-183.in,code2,-1,1.000000e+02
258,data_80-0.08-7215.in,code1,-1,1.000000e+02
259,data_80-0.08-7215.in,code2,-1,1.000000e+02
260,data_80-0.32-6489.in,code1,-1,1.000000e+02
261,data_80-0.32-6489.in,code2,-1,1.000000e+02
262,data_100-0.02-6489.in,code1,-1,1.000000e+02
263,data_100-0.02-6489.in,code2,-1,1.000000e+02
264,data_80-0.08-183.in,code1,-1,1.000000e+02
265,data_80-0.08-183.in,code2,-1,1.000000e+02
266,data_10-0.04-6930.in,code1,1,1.700000e-05
267,data_10-0.04-6930.in,code2,2,5.000000e-06
268,data_90-0.08-3648.in,code1,-1,1.000000e+02
269,data_90-0.08-3648.in,code2,-1,1.000000e+02
270,data_2-0.32-8105.in,code1,1,2.000000e-06
271,data_2-0.32-8105.in,code2,2,2.000000e-06
272,data_2-0.64-3648.in,code1,1,2.000000e-06
273,data_2-0.64-3648.in,code2,2,3.000000e-06
274,data_70-0.04-133.in,code1,3,3.041000e-03
275,data_70-0.04-133.in,code2,3,2.301000e-03
276,data_70-0.32-6194.in,code1,-1,1.000000e+02
277,data_70-0.32-6194.in,code2,-1,1.000000e+02
278,data_90-0.04-2275.in,code1,-1,1.000000e+02
279,data_90-0.04-2275.in,code2,-1,1.000000e+02
280,data_80-0.32-7215.in,code1,-1,1.000000e+02
281,data_80-0.32-7215.in,code2,-1,1.000000e+02
282,data_80-0.32-9665.in,code1,-1,1.000000e+02
283,data_80-0.32-9665.in,code2,-1,1.000000e+02
284,data_40-0.16-6757.in,code1,4,5.679000e-03
285,data_40-0.16-6757.in,code2,4,8.642000e-03
286,data_20-0.02-6930.in,code1,2,6.800000e-05
287,data_20-0.02-6930.in,code2,2,6.000000e-06
288,data_20-0.32-8321.in,code1,4,8.600000e-05
289,data_20-0.32-8321.in,code2,4,4.200000e-05
290,data_70-0.02-579.in,code1,3,1.281764e+01
291,data_70-0.02-579.in,code2,3,1.272449e+01
292,data_40-0.08-6726.in,code1,3,1.719000e-03
293,data_40-0.08-6726.in,code2,3,1.423000e-03
294,data_100-0.32-8321.in,code1,-1,1.000000e+02
295,data_100-0.32-8321.in,code2,-1,1.000000e+02
296,data_70-0.32-6757.in,code1,-1,1.000000e+02
297,data_70-0.32-6757.in,code2,-1,1.000000e+02
298,data_2-0.02-487.in,code1,1,2.000000e-06
299,data_2-0.02-487.in,code2,2,2.000000e-06
300,data_100-0.02-6726.in,code1,-1,1.000000e+02
301,data_100-0.02-6726.in,code2,-1,1.000000e+02
302,data_40-0.04-9665.in,code1,3,1.354200e-02
303,data_40-0.04-9665.in,code2,3,1.921400e-02
304,data_10-0.16-6489.in,code1,3,2.100000e-05
305,data_10-0.16-6489.in,code2,3,1.400000e-05
306,data_100-0.08-6726.in,code1,-1,1.000000e+02
307,data_100-0.08-6726.in,code2,-1,1.000000e+02
308,data_100-0.04-2405.in,code1,-1,1.000000e+02
309,data_100-0.04-2405.in,code2,-1,1.000000e+02
310,data_2-0.04-9544.in,code1,1,2.000000e-06
311,data_2-0.04-9544.in,code2,2,2.000000e-06
312,data_60-0.32-6757.in,code1,-1,1.000000e+02
313,data_60-0.32-6757.in,code2,-1,1.000000e+02
314,data_2-0.04-183.in,code1,1,3.000000e-06
315,data_2-0.04-183.in,code2,2,2.000000e-06
316,data_30-0.16-3705.in,code1,4,8.034800e-02
317,data_30-0.16-3705.in,code2,4,8.043800e-02
318,data_50-0.04-3401.in,code1,3,1.173230e-01
319,data_50-0.04-3401.in,code2,3,1.223880e-01
320,data_100-0.32-487.in,code1,-1,1.000000e+02
321,data_100-0.32-487.in,code2,-1,1.000000e+02
322,data_40-0.02-8105.in,code1,2,4.850000e-04
323,data_40-0.02-8105.in,code2,2,1.440000e-04
324,data_60-0.04-183.in,code1,3,9.410000e-04
325,data_60-0.04-183.in,code2,3,1.040000e-04
326,data_50-0.08-183.in,code1,-1,1.000000e+02
327,data_50-0.08-183.in,code2,-1,1.000000e+02
328,data_100-0.08-9665.in,code1,-1,1.000000e+02
329,data_100-0.08-9665.in,code2,-1,1.000000e+02
330,data_10-0.02-3401.in,code1,2,1.500000e-05
331,data_10-0.02-3401.in,code2,2,4.000000e-06
332,data_2-0.32-2783.in,code1,1,3.000000e-06
333,data_2-0.32-2783.in,code2,2,3.000000e-06
334,data_90-0.04-8321.in,code1,-1,1.000000e+02
335,data_90-0.04-8321.in,code2,-1,1.000000e+02
336,data_10-0.16-8321.in,code1,2,1.700000e-05
337,data_10-0.16-8321.in,code2,2,5.000000e-06
338,data_60-0.32-3648.in,code1,-1,1.000000e+02
339,data_60-0.32-3648.in,code2,-1,1.000000e+02
340,data_30-0.16-6489.in,code1,3,1.816000e-03
341,data_30-0.16-6489.in,code2,3,1.168000e-03
342,data_50-0.04-2405.in,code1,3,1.493200e-01
343,data_50-0.04-2405.in,code2,3,1.467770e-01
344,data_20-0.08-6489.in,code1,2,1.060000e-04
345,data_20-0.08-6489.in,code2,2,5.700000e-05
346,data_90-0.08-1278.in,code1,-1,1.000000e+02
347,data_90-0.08-1278.in,code2,-1,1.000000e+02
348,data_80-0.02-1278.in,code1,3,4.830485e+01
349,data_80-0.02-1278.in,code2,3,4.790033e+01
350,data_40-0.16-6573.in,code1,4,9.640000e-03
351,data_40-0.16-6573.in,code2,4,5.699000e-03
352,data_80-0.08-6726.in,code1,-1,1.000000e+02
353,data_80-0.08-6726.in,code2,-1,1.000000e+02
354,data_10-0.08-6489.in,code1,2,1.600000e-05
355,data_10-0.08-6489.in,code2,2,4.000000e-06
356,data_30-0.16-4783.in,code1,4,3.350400e-02
357,data_30-0.16-4783.in,code2,4,2.928900e-02
358,data_10-0.16-133.in,code1,2,1.700000e-05
359,data_10-0.16-133.in,code2,2,5.000000e-06
360,data_90-0.16-9544.in,code1,-1,1.000000e+02
361,data_90-0.16-9544.in,code2,-1,1.000000e+02
362,data_60-0.08-1278.in,code1,-1,1.000000e+02
363,data_60-0.08-1278.in,code2,-1,1.000000e+02
364,data_10-0.08-3648.in,code1,2,1.600000e-05
365,data_10-0.08-3648.in,code2,2,3.000000e-06
366,data_2-0.32-8321.in,code1,1,3.000000e-06
367,data_2-0.32-8321.in,code2,2,2.000000e-06
368,data_50-0.08-2783.in,code1,-1,1.000000e+02
