group1,group2,meandiff,p-adj,lower,upper,reject
code1:56:0.02,code2:56:0.02,0.0474,0.9,-61.4039,61.4988,False
code1:56:0.028284271247461905,code2:56:0.028284271247461905,-0.0046,0.9,-61.4559,61.4468,False
code1:56:0.04000000000000001,code2:56:0.04000000000000001,0.0019,0.9,-61.4494,61.4533,False
code1:56:0.05656854249492382,code2:56:0.05656854249492382,-0.0024,0.9,-61.4537,61.4489,False
code1:56:0.08000000000000002,code2:56:0.08000000000000002,-1.2049,0.9,-62.6562,60.2465,False
code1:56:0.11313708498984765,code2:56:0.11313708498984765,-29.95,0.9,-91.4014,31.5013,False
code1:56:0.1600000000000001,code2:56:0.1600000000000001,-0.0204,0.9,-61.4717,61.4309,False
code1:56:0.22627416997969532,code2:56:0.22627416997969532,0.0465,0.9,-61.4049,61.4978,False
code1:56:0.3200000000000002,code2:56:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:56:0.45254833995939064,code2:56:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:56:0.6400000000000005,code2:56:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:60:0.02,code2:60:0.02,-0.0058,0.9,-61.4571,61.4456,False
code1:60:0.028284271247461905,code2:60:0.028284271247461905,0.0017,0.9,-61.4497,61.453,False
code1:60:0.04000000000000001,code2:60:0.04000000000000001,-0.0066,0.9,-61.4579,61.4447,False
code1:60:0.05656854249492382,code2:60:0.05656854249492382,0.0622,0.9,-61.3892,61.5135,False
code1:60:0.08000000000000002,code2:60:0.08000000000000002,-0.1282,0.9,-61.5795,61.3232,False
code1:60:0.11313708498984765,code2:60:0.11313708498984765,-0.0098,0.9,-61.4611,61.4416,False
code1:60:0.1600000000000001,code2:60:0.1600000000000001,0.043,0.9,-61.4083,61.4943,False
code1:60:0.22627416997969532,code2:60:0.22627416997969532,0.0,0.9,-61.4513,61.4513,False
code1:60:0.3200000000000002,code2:60:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:60:0.45254833995939064,code2:60:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:60:0.6400000000000005,code2:60:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:64:0.02,code2:64:0.02,-0.0016,0.9,-61.453,61.4497,False
code1:64:0.028284271247461905,code2:64:0.028284271247461905,-0.0397,0.9,-61.491,61.4117,False
code1:64:0.04000000000000001,code2:64:0.04000000000000001,0.0338,0.9,-61.4176,61.4851,False
code1:64:0.05656854249492382,code2:64:0.05656854249492382,-0.0058,0.9,-61.4572,61.4455,False
code1:64:0.08000000000000002,code2:64:0.08000000000000002,0.0,0.9,-61.4513,61.4513,False
code1:64:0.11313708498984765,code2:64:0.11313708498984765,0.0,0.9,-61.4513,61.4513,False
code1:64:0.1600000000000001,code2:64:0.1600000000000001,0.0,0.9,-61.4513,61.4513,False
code1:64:0.22627416997969532,code2:64:0.22627416997969532,0.0,0.9,-61.4513,61.4513,False
code1:64:0.3200000000000002,code2:64:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:64:0.45254833995939064,code2:64:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:64:0.6400000000000005,code2:64:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:68:0.02,code2:68:0.02,-0.0089,0.9,-61.4602,61.4424,False
code1:68:0.028284271247461905,code2:68:0.028284271247461905,-0.0155,0.9,-61.4668,61.4358,False
code1:68:0.04000000000000001,code2:68:0.04000000000000001,-0.0342,0.9,-61.4856,61.4171,False
code1:68:0.05656854249492382,code2:68:0.05656854249492382,-0.0008,0.9,-61.4522,61.4505,False
code1:68:0.08000000000000002,code2:68:0.08000000000000002,-0.0041,0.9,-61.4554,61.4472,False
code1:68:0.11313708498984765,code2:68:0.11313708498984765,-0.3262,0.9,-61.7775,61.1252,False
code1:68:0.1600000000000001,code2:68:0.1600000000000001,0.0,0.9,-61.4513,61.4513,False
code1:68:0.22627416997969532,code2:68:0.22627416997969532,0.0,0.9,-61.4513,61.4513,False
code1:68:0.3200000000000002,code2:68:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:68:0.45254833995939064,code2:68:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:68:0.6400000000000005,code2:68:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:72:0.02,code2:72:0.02,-0.0002,0.9,-61.4515,61.4512,False
code1:72:0.028284271247461905,code2:72:0.028284271247461905,-0.0028,0.9,-61.4541,61.4485,False
code1:72:0.04000000000000001,code2:72:0.04000000000000001,-0.0001,0.9,-61.4515,61.4512,False
code1:72:0.05656854249492382,code2:72:0.05656854249492382,-0.0562,0.9,-61.5075,61.3952,False
code1:72:0.08000000000000002,code2:72:0.08000000000000002,-0.0761,0.9,-61.5275,61.3752,False
code1:72:0.11313708498984765,code2:72:0.11313708498984765,0.0,0.9,-61.4513,61.4513,False
code1:72:0.1600000000000001,code2:72:0.1600000000000001,0.0,0.9,-61.4513,61.4513,False
code1:72:0.22627416997969532,code2:72:0.22627416997969532,0.0,0.9,-61.4513,61.4513,False
code1:72:0.3200000000000002,code2:72:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:72:0.45254833995939064,code2:72:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:72:0.6400000000000005,code2:72:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:76:0.02,code2:76:0.02,0.1037,0.9,-61.3477,61.555,False
code1:76:0.028284271247461905,code2:76:0.028284271247461905,-0.0585,0.9,-61.5098,61.3929,False
