Exams,Probability,Seed,Code Type,N,Time
40,0.32,3648,code2,6,2.330979e+01
10,0.04,2275,code1,2,1.500000e-05
10,0.04,2275,code2,2,5.000000e-06
2,0.08,3401,code1,1,2.000000e-06
2,0.08,3401,code2,2,2.000000e-06
80,0.02,183,code1,3,3.899209e+00
80,0.02,183,code2,3,3.912556e+00
50,0.08,1278,code1,3,1.740840e+01
50,0.08,1278,code2,3,1.745384e+01
2,0.08,579,code1,1,3.000000e-06
2,0.08,579,code2,2,1.000000e-06
2,0.04,8321,code1,1,2.000000e-06
2,0.04,8321,code2,2,2.000000e-06
10,0.08,5855,code1,2,1.600000e-05
10,0.08,5855,code2,2,4.000000e-06
50,0.02,5855,code1,2,7.180000e-04
50,0.02,5855,code2,2,1.850000e-04
20,0.16,5855,code1,3,2.760000e-04
20,0.16,5855,code2,3,2.030000e-04
20,0.08,487,code1,3,1.580000e-04
20,0.08,487,code2,3,1.650000e-04
20,0.16,1278,code1,3,1.590000e-04
20,0.16,1278,code2,3,1.280000e-04
10,0.08,183,code1,2,1.600000e-05
10,0.08,183,code2,2,5.000000e-06
30,0.08,2783,code1,3,2.620000e-04
30,0.08,2783,code2,3,1.670000e-04
50,0.02,133,code1,2,9.367830e+00
50,0.02,133,code2,2,9.407031e+00
40,0.08,9806,code1,3,7.257000e-03
40,0.08,9806,code2,3,5.725000e-03
50,0.08,8321,code1,3,7.230653e+00
50,0.08,8321,code2,3,7.224423e+00
50,0.16,579,code1,4,3.796560e-01
50,0.16,579,code2,4,3.762420e-01
40,0.04,8105,code1,2,1.958000e-03
40,0.04,8105,code2,2,1.667000e-03
2,0.32,6930,code1,1,2.000000e-06
2,0.32,6930,code2,2,2.000000e-06
40,0.04,5840,code1,3,2.279080e-01
40,0.04,5840,code2,3,2.284480e-01
70,0.02,9544,code1,3,6.419962e+01
70,0.02,9544,code2,3,6.374180e+01
10,0.04,183,code1,2,1.600000e-05
10,0.04,183,code2,2,4.000000e-06
20,0.64,3705,code1,8,3.041030e-01
20,0.64,3705,code2,8,3.048030e-01
40,0.16,579,code1,4,1.148300e-02
40,0.16,579,code2,4,8.622000e-03
70,0.02,6930,code1,3,8.960947e+01
70,0.02,6930,code2,3,8.877224e+01
20,0.08,6573,code1,3,8.700000e-05
20,0.08,6573,code2,3,1.600000e-05
2,0.04,7215,code1,1,2.000000e-06
2,0.04,7215,code2,2,2.000000e-06
10,0.64,334,code1,5,4.000000e-05
10,0.64,334,code2,5,4.900000e-05
20,0.64,487,code1,7,2.779100e-02
20,0.64,487,code2,7,2.629400e-02
30,0.16,133,code1,4,5.265600e-02
30,0.16,133,code2,4,1.469500e-02
30,0.16,7215,code1,4,7.370000e-04
30,0.16,7215,code2,4,6.330000e-04
10,0.04,721,code1,2,1.400000e-05
10,0.04,721,code2,2,4.000000e-06
40,0.02,5855,code1,2,3.545800e-02
40,0.02,5855,code2,2,3.395800e-02
50,0.16,2405,code1,4,2.970466e+01
50,0.16,2405,code2,4,3.013784e+01
50,0.02,579,code1,2,5.870000e-04
50,0.02,579,code2,2,2.100000e-05
30,0.32,9544,code1,5,3.993000e-02
30,0.32,9544,code2,5,4.091500e-02
30,0.32,3705,code1,5,1.274994e+00
30,0.32,3705,code2,5,1.277811e+00
10,0.64,6573,code1,6,1.010000e-04
10,0.64,6573,code2,6,1.450000e-04
30,0.64,6489,code1,8,4.186340e+00
30,0.64,6489,code2,8,4.165818e+00
60,0.04,2405,code1,3,2.713000e-03
60,0.04,2405,code2,3,1.202000e-03
10,0.64,487,code1,4,1.800000e-05
10,0.64,487,code2,4,1.300000e-05
20,0.32,2275,code1,4,1.006000e-03
20,0.32,2275,code2,4,9.970000e-04
40,0.02,6726,code1,2,3.649000e-03
40,0.02,6726,code2,2,2.209000e-03
40,0.02,9544,code1,2,3.980000e-04
40,0.02,9544,code2,2,1.300000e-04
30,0.04,3648,code1,3,1.514000e-03
30,0.04,3648,code2,3,1.352000e-03
2,0.64,8321,code1,1,2.000000e-06
2,0.64,8321,code2,2,2.000000e-06
50,0.04,8321,code1,3,1.444700e-02
50,0.04,8321,code2,3,1.704800e-02
40,0.16,6726,code1,4,8.797200e-01
40,0.16,6726,code2,4,8.803680e-01
20,0.32,6573,code1,4,2.750000e-04
20,0.32,6573,code2,4,2.880000e-04
10,0.16,2783,code1,2,1.900000e-05
10,0.16,2783,code2,2,4.000000e-06
20,0.32,487,code1,4,1.590000e-04
20,0.32,487,code2,4,7.900000e-05
2,0.64,5840,code1,2,0.000000e+00
2,0.64,5840,code2,2,2.000000e-06
70,0.02,133,code1,2,2.582600e-02
70,0.02,133,code2,2,2.151000e-02
80,0.04,7215,code1,3,6.031700e-01
80,0.04,7215,code2,3,5.961460e-01
90,0.02,4783,code1,3,5.694200e-02
90,0.02,4783,code2,3,6.028900e-02
20,0.16,3705,code1,3,7.200000e-05
20,0.16,3705,code2,3,1.600000e-05
60,0.04,1278,code1,3,7.690000e-04
60,0.04,1278,code2,3,4.200000e-05
2,0.02,5855,code1,1,2.000000e-06
2,0.02,5855,code2,2,2.000000e-06
20,0.32,183,code1,4,9.900000e-05
20,0.32,183,code2,4,2.200000e-05
2,0.04,487,code1,1,2.000000e-06
2,0.04,487,code2,2,1.000000e-06
20,0.04,487,code1,2,6.800000e-05
