group1,group2,meandiff,p-adj,lower,upper,reject
code1:10:0.34,code1:20:0.02,0.0005,0.9,-11.361,11.362,False
code1:10:0.34,code1:20:0.34,0.0033,0.9,-11.3582,11.3648,False
code1:10:0.34,code1:20:0.5,0.067,0.9,-11.2945,11.4285,False
code1:10:0.34,code1:20:0.58,0.0552,0.9,-11.3063,11.4167,False
code1:10:0.34,code1:20:0.62,0.2057,0.9,-11.1558,11.5672,False
code1:10:0.34,code1:20:0.64,0.0833,0.9,-11.2783,11.4448,False
code1:10:0.34,code1:30:0.02,0.0242,0.9,-11.3373,11.3858,False
code1:10:0.34,code1:30:0.34,0.6743,0.9,-10.6872,12.0358,False
code1:10:0.34,code1:30:0.5,11.4405,0.0765,-0.3499,23.2309,False
code1:10:0.34,code1:30:0.58,24.9908,0.001,12.471,37.5106,True
code1:10:0.34,code1:30:0.62,17.8778,0.001,3.6354,32.1202,True
code1:10:0.34,code1:30:0.64,31.0785,0.001,16.4674,45.6896,True
code1:10:0.34,code1:40:0.02,0.1089,0.9,-11.2526,11.4704,False
code1:10:0.34,code1:40:0.34,12.2844,0.1182,-0.8347,25.4036,False
code1:10:0.34,code1:40:0.5,46.9276,0.001,14.7923,79.0628,True
code1:10:0.34,code1:50:0.02,2.6478,0.9,-8.8112,14.1068,False
code1:10:0.34,code1:60:0.02,3.8773,0.9,-7.5817,15.3364,False
code1:10:0.34,code1:70:0.02,12.2318,0.1504,-1.1264,25.5899,False
code1:10:0.34,code1:80:0.02,17.4943,0.0127,1.4267,33.5619,True
code1:10:0.34,code1:90:0.02,35.2444,0.001,20.2145,50.2743,True
code1:10:0.34,code2:100:0.02,10.3074,0.9,-9.3713,29.9861,False
code1:10:0.34,code2:10:0.02,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.34,code2:10:0.34,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.34,code2:10:0.5,0.0,0.9,-11.3615,11.3615,False
code1:10:0.34,code2:10:0.58,0.0,0.9,-11.3615,11.3615,False
code1:10:0.34,code2:10:0.62,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.34,code2:10:0.64,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.34,code2:20:0.02,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.34,code2:20:0.34,0.0022,0.9,-11.3593,11.3637,False
code1:10:0.34,code2:20:0.5,0.0206,0.9,-11.3409,11.3821,False
code1:10:0.34,code2:20:0.58,0.0749,0.9,-11.2866,11.4364,False
code1:10:0.34,code2:20:0.62,0.2477,0.9,-11.1138,11.6092,False
code1:10:0.34,code2:20:0.64,0.2842,0.9,-11.0774,11.6457,False
code1:10:0.34,code2:30:0.02,0.0068,0.9,-11.3547,11.3683,False
code1:10:0.34,code2:30:0.34,0.5592,0.9,-10.8023,11.9208,False
code1:10:0.34,code2:30:0.5,8.9786,0.5769,-2.8117,20.769,False
code1:10:0.34,code2:30:0.58,15.0273,0.001,2.9766,27.078,True
code1:10:0.34,code2:30:0.62,22.9413,0.001,8.6989,37.1838,True
code1:10:0.34,code2:30:0.64,43.2037,0.001,27.1361,59.2713,True
code1:10:0.34,code2:40:0.02,0.1138,0.9,-11.2477,11.4753,False
code1:10:0.34,code2:40:0.34,26.6307,0.001,13.2725,39.9888,True
code1:10:0.34,code2:50:0.02,6.6109,0.9,-4.8482,18.0699,False
code1:10:0.34,code2:60:0.02,11.4459,0.058,-0.1167,23.0085,False
code1:10:0.34,code2:70:0.02,7.9127,0.9,-4.607,20.4325,False
code1:10:0.34,code2:80:0.02,13.6082,0.4221,-3.1155,30.3319,False
code1:10:0.34,code2:90:0.02,17.4968,0.0505,-0.0124,35.0061,False
code1:10:0.5,code1:10:0.58,0.0,0.9,-11.3615,11.3615,False
code1:10:0.5,code1:10:0.62,0.0,0.9,-11.3615,11.3615,False
code1:10:0.5,code1:10:0.64,0.0001,0.9,-11.3615,11.3616,False
code1:10:0.5,code1:20:0.02,0.0005,0.9,-11.361,11.362,False
