sample,file,algorithm,slots,runtime
133,data_20-0.5-11961.in,code2,6,2.216200e-02
134,data_90-0.34-72984.in,code1,-1,1.000000e+02
135,data_90-0.34-72984.in,code2,-1,1.000000e+02
136,data_100-0.64-45455.in,code1,-1,1.000000e+02
137,data_100-0.64-45455.in,code2,-1,1.000000e+02
138,data_40-0.5-82261.in,code1,-1,1.000000e+02
139,data_40-0.5-82261.in,code2,-1,1.000000e+02
140,data_80-0.62-20644.in,code1,-1,1.000000e+02
141,data_80-0.62-20644.in,code2,-1,1.000000e+02
142,data_80-0.34-73752.in,code1,-1,1.000000e+02
143,data_80-0.34-73752.in,code2,-1,1.000000e+02
144,data_50-0.02-38658.in,code1,2,8.600000e-04
145,data_50-0.02-38658.in,code2,2,4.065000e-03
146,data_40-0.02-72984.in,code1,2,3.690000e-04
147,data_40-0.02-72984.in,code2,2,2.100000e-05
148,data_20-0.34-35031.in,code1,5,6.470000e-04
149,data_20-0.34-35031.in,code2,5,2.106000e-03
150,data_50-0.62-45495.in,code1,-1,1.000000e+02
151,data_50-0.62-45495.in,code2,-1,1.000000e+02
152,data_80-0.5-64116.in,code1,-1,1.000000e+02
153,data_80-0.5-64116.in,code2,-1,1.000000e+02
154,data_20-0.34-30712.in,code1,4,2.300000e-04
155,data_20-0.34-30712.in,code2,4,1.990000e-04
156,data_90-0.62-38658.in,code1,-1,1.000000e+02
157,data_90-0.62-38658.in,code2,-1,1.000000e+02
158,data_30-0.34-82261.in,code1,5,1.101500e-02
159,data_30-0.34-82261.in,code2,5,1.454300e-02
160,data_90-0.64-15680.in,code1,-1,1.000000e+02
161,data_90-0.64-15680.in,code2,-1,1.000000e+02
162,data_20-0.34-70889.in,code1,4,1.310000e-04
163,data_20-0.34-70889.in,code2,4,5.510000e-04
164,data_10-0.64-22170.in,code1,6,2.360000e-04
165,data_10-0.64-22170.in,code2,6,1.270000e-04
166,data_10-0.34-26078.in,code1,3,1.400000e-05
167,data_10-0.34-26078.in,code2,3,1.100000e-05
168,data_60-0.62-93196.in,code1,-1,1.000000e+02
169,data_60-0.62-93196.in,code2,-1,1.000000e+02
170,data_20-0.58-11974.in,code1,7,1.490600e-02
171,data_20-0.58-11974.in,code2,7,8.785600e-02
172,data_10-0.5-22170.in,code1,4,1.700000e-05
173,data_10-0.5-22170.in,code2,4,4.800000e-05
174,data_20-0.5-20644.in,code1,5,8.982000e-03
175,data_20-0.5-20644.in,code2,5,5.750000e-04
176,data_70-0.62-35661.in,code1,-1,1.000000e+02
177,data_70-0.62-35661.in,code2,-1,1.000000e+02
178,data_50-0.58-73752.in,code1,-1,1.000000e+02
179,data_50-0.58-73752.in,code2,-1,1.000000e+02
180,data_80-0.64-84888.in,code1,-1,1.000000e+02
181,data_80-0.64-84888.in,code2,-1,1.000000e+02
182,data_90-0.34-30230.in,code1,-1,1.000000e+02
183,data_90-0.34-30230.in,code2,-1,1.000000e+02
184,data_60-0.64-93196.in,code1,-1,1.000000e+02
185,data_60-0.64-93196.in,code2,-1,1.000000e+02
186,data_40-0.62-26078.in,code1,-1,1.000000e+02
187,data_40-0.62-26078.in,code2,-1,1.000000e+02
188,data_100-0.64-87626.in,code1,-1,1.000000e+02
189,data_100-0.64-87626.in,code2,-1,1.000000e+02
190,data_40-0.02-64116.in,code1,2,2.870000e-04
191,data_40-0.02-64116.in,code2,2,1.200000e-05
192,data_30-0.58-25053.in,code1,8,7.158813e+00
193,data_30-0.58-25053.in,code2,8,3.937696e+00
194,data_40-0.58-32552.in,code1,-1,1.000000e+02
195,data_40-0.58-32552.in,code2,-1,1.000000e+02
196,data_10-0.5-20644.in,code1,4,2.100000e-05
197,data_10-0.5-20644.in,code2,4,4.200000e-05
198,data_100-0.02-11961.in,code1,-1,1.000000e+02
199,data_100-0.02-11961.in,code2,-1,1.000000e+02
200,data_60-0.5-30712.in,code1,-1,1.000000e+02
201,data_60-0.5-30712.in,code2,-1,1.000000e+02
202,data_60-0.5-38658.in,code1,-1,1.000000e+02
203,data_60-0.5-38658.in,code2,-1,1.000000e+02
204,data_10-0.58-23212.in,code1,5,7.300000e-05
205,data_10-0.58-23212.in,code2,5,1.000000e-04
206,data_40-0.64-84888.in,code1,-1,1.000000e+02
207,data_40-0.64-84888.in,code2,-1,1.000000e+02
208,data_70-0.62-45455.in,code1,-1,1.000000e+02
209,data_70-0.62-45455.in,code2,-1,1.000000e+02
210,data_20-0.02-93196.in,code1,2,6.800000e-05
211,data_20-0.02-93196.in,code2,2,1.100000e-05
212,data_60-0.5-87626.in,code1,-1,1.000000e+02
213,data_60-0.5-87626.in,code2,-1,1.000000e+02
214,data_50-0.5-47252.in,code1,-1,1.000000e+02
215,data_50-0.5-47252.in,code2,-1,1.000000e+02
216,data_70-0.58-23212.in,code1,-1,1.000000e+02
217,data_70-0.58-23212.in,code2,-1,1.000000e+02
218,data_30-0.64-23212.in,code1,-1,1.000000e+02
219,data_30-0.64-23212.in,code2,9,7.034974e+01
220,data_30-0.5-20644.in,code1,7,1.671063e+00
221,data_30-0.5-20644.in,code2,7,1.921605e+00
222,data_30-0.64-47252.in,code1,9,1.785429e+01
223,data_30-0.64-47252.in,code2,9,3.971642e+01
224,data_70-0.58-84888.in,code1,-1,1.000000e+02
225,data_70-0.58-84888.in,code2,-1,1.000000e+02
226,data_40-0.34-25053.in,code1,-1,1.000000e+02
227,data_40-0.34-25053.in,code2,6,4.049244e+01
228,data_40-0.64-26078.in,code1,-1,1.000000e+02
229,data_40-0.64-26078.in,code2,-1,1.000000e+02
230,data_20-0.34-25053.in,code1,4,5.000000e-04
231,data_20-0.34-25053.in,code2,4,2.230000e-04
232,data_70-0.34-25053.in,code1,-1,1.000000e+02
233,data_70-0.34-25053.in,code2,-1,1.000000e+02
234,data_10-0.5-72984.in,code1,4,1.900000e-05
235,data_10-0.5-72984.in,code2,4,2.300000e-05
236,data_40-0.62-32552.in,code1,-1,1.000000e+02
237,data_40-0.62-32552.in,code2,-1,1.000000e+02
238,data_50-0.64-30230.in,code1,-1,1.000000e+02
239,data_50-0.64-30230.in,code2,-1,1.000000e+02
240,data_40-0.34-11961.in,code1,6,3.632703e+00
241,data_40-0.34-11961.in,code2,6,6.234581e+00
242,data_100-0.64-47252.in,code1,-1,1.000000e+02
243,data_100-0.64-47252.in,code2,-1,1.000000e+02
244,data_100-0.5-30230.in,code1,-1,1.000000e+02
245,data_100-0.5-30230.in,code2,-1,1.000000e+02
246,data_10-0.5-45495.in,code1,3,2.800000e-05
247,data_10-0.5-45495.in,code2,3,1.000000e-05
248,data_100-0.34-11974.in,code1,-1,1.000000e+02
249,data_100-0.34-11974.in,code2,-1,1.000000e+02
250,data_10-0.62-11974.in,code1,4,1.800000e-05
251,data_10-0.62-11974.in,code2,4,1.600000e-05
252,data_80-0.34-30712.in,code1,-1,1.000000e+02
253,data_80-0.34-30712.in,code2,-1,1.000000e+02
254,data_100-0.64-45495.in,code1,-1,1.000000e+02
255,data_100-0.64-45495.in,code2,-1,1.000000e+02
256,data_80-0.34-22170.in,code1,-1,1.000000e+02
257,data_80-0.34-22170.in,code2,-1,1.000000e+02
258,data_60-0.5-93196.in,code1,-1,1.000000e+02
259,data_60-0.5-93196.in,code2,-1,1.000000e+02
260,data_40-0.58-70889.in,code1,-1,1.000000e+02
261,data_40-0.58-70889.in,code2,-1,1.000000e+02
262,data_60-0.02-87626.in,code1,2,1.570995e+01
263,data_60-0.02-87626.in,code2,2,5.056064e+01
264,data_80-0.58-35031.in,code1,-1,1.000000e+02
265,data_80-0.58-35031.in,code2,-1,1.000000e+02
266,data_70-0.58-45455.in,code1,-1,1.000000e+02
267,data_70-0.58-45455.in,code2,-1,1.000000e+02
268,data_100-0.34-30592.in,code1,-1,1.000000e+02
269,data_100-0.34-30592.in,code2,-1,1.000000e+02
270,data_20-0.64-84888.in,code1,8,3.041390e-01
271,data_20-0.64-84888.in,code2,8,1.064170e+00
272,data_20-0.58-35031.in,code1,7,3.469900e-02
273,data_20-0.58-35031.in,code2,7,5.023600e-02
274,data_70-0.62-70889.in,code1,-1,1.000000e+02
275,data_70-0.62-70889.in,code2,-1,1.000000e+02
276,data_20-0.5-37303.in,code1,6,2.649000e-03
277,data_20-0.5-37303.in,code2,6,2.751700e-02
278,data_80-0.02-73752.in,code1,-1,1.000000e+02
279,data_80-0.02-73752.in,code2,-1,1.000000e+02
280,data_30-0.34-22170.in,code1,6,2.818400e-02
281,data_30-0.34-22170.in,code2,6,3.368720e-01
282,data_30-0.62-37303.in,code1,8,4.985400e-01
283,data_30-0.62-37303.in,code2,8,1.890481e+00
284,data_90-0.02-11974.in,code1,-1,1.000000e+02
285,data_90-0.02-11974.in,code2,-1,1.000000e+02
286,data_10-0.02-82261.in,code1,1,1.300000e-05
287,data_10-0.02-82261.in,code2,1,4.000000e-06
288,data_90-0.5-34958.in,code1,-1,1.000000e+02
289,data_90-0.5-34958.in,code2,-1,1.000000e+02
290,data_50-0.62-35031.in,code1,-1,1.000000e+02
291,data_50-0.62-35031.in,code2,-1,1.000000e+02
292,data_70-0.64-23212.in,code1,-1,1.000000e+02
293,data_70-0.64-23212.in,code2,-1,1.000000e+02
294,data_90-0.58-26078.in,code1,-1,1.000000e+02
295,data_90-0.58-26078.in,code2,-1,1.000000e+02
296,data_90-0.5-30230.in,code1,-1,1.000000e+02
297,data_90-0.5-30230.in,code2,-1,1.000000e+02
298,data_100-0.58-26078.in,code1,-1,1.000000e+02
299,data_100-0.58-26078.in,code2,-1,1.000000e+02
300,data_20-0.62-26078.in,code1,7,5.295800e-02
301,data_20-0.62-26078.in,code2,7,8.465600e-02
302,data_20-0.5-34958.in,code1,6,4.811000e-03
303,data_20-0.5-34958.in,code2,6,9.065000e-03
304,data_90-0.02-45495.in,code1,-1,1.000000e+02
305,data_90-0.02-45495.in,code2,-1,1.000000e+02
306,data_100-0.34-45455.in,code1,-1,1.000000e+02
307,data_100-0.34-45455.in,code2,-1,1.000000e+02
308,data_10-0.64-11974.in,code1,4,3.500000e-05
309,data_10-0.64-11974.in,code2,4,3.800000e-05
310,data_80-0.64-25053.in,code1,-1,1.000000e+02
311,data_80-0.64-25053.in,code2,-1,1.000000e+02
312,data_20-0.02-26078.in,code1,2,6.600000e-05
313,data_20-0.02-26078.in,code2,2,1.100000e-05
314,data_70-0.62-84888.in,code1,-1,1.000000e+02
315,data_70-0.62-84888.in,code2,-1,1.000000e+02
316,data_100-0.5-26078.in,code1,-1,1.000000e+02
317,data_100-0.5-26078.in,code2,-1,1.000000e+02
318,data_100-0.5-11961.in,code1,-1,1.000000e+02
319,data_100-0.5-11961.in,code2,-1,1.000000e+02
320,data_70-0.64-84888.in,code1,-1,1.000000e+02
321,data_70-0.64-84888.in,code2,-1,1.000000e+02
322,data_50-0.58-14308.in,code1,-1,1.000000e+02
323,data_50-0.58-14308.in,code2,-1,1.000000e+02
324,data_70-0.02-30712.in,code1,-1,1.000000e+02
325,data_70-0.02-30712.in,code2,2,3.208033e+01
326,data_40-0.02-22170.in,code1,2,3.975000e-03
327,data_40-0.02-22170.in,code2,2,6.100000e-05
328,data_20-0.64-26078.in,code1,7,1.801000e-02
329,data_20-0.64-26078.in,code2,7,5.132800e-02
330,data_70-0.64-37303.in,code1,-1,1.000000e+02
331,data_70-0.64-37303.in,code2,-1,1.000000e+02
332,data_50-0.62-23212.in,code1,-1,1.000000e+02
333,data_50-0.62-23212.in,code2,-1,1.000000e+02
334,data_70-0.34-30230.in,code1,-1,1.000000e+02
335,data_70-0.34-30230.in,code2,-1,1.000000e+02
336,data_20-0.62-35661.in,code1,7,9.368000e-03
337,data_20-0.62-35661.in,code2,7,9.565000e-03
338,data_30-0.5-72984.in,code1,7,2.649918e+00
339,data_30-0.5-72984.in,code2,7,1.701310e+00
340,data_40-0.02-73752.in,code1,2,3.700000e-04
341,data_40-0.02-73752.in,code2,2,2.100000e-05
342,data_10-0.02-70889.in,code1,2,2.100000e-05
343,data_10-0.02-70889.in,code2,2,3.000000e-06
344,data_100-0.64-34958.in,code1,-1,1.000000e+02
345,data_100-0.64-34958.in,code2,-1,1.000000e+02
346,data_40-0.34-30230.in,code1,6,1.330673e+01
347,data_40-0.34-30230.in,code2,6,6.236006e+00
348,data_40-0.02-37303.in,code1,2,1.254000e-03
349,data_40-0.02-37303.in,code2,2,5.814530e-01
350,data_60-0.02-15680.in,code1,2,2.184287e+00
351,data_60-0.02-15680.in,code2,2,5.103025e+00
352,data_60-0.5-45495.in,code1,-1,1.000000e+02
353,data_60-0.5-45495.in,code2,-1,1.000000e+02
354,data_60-0.34-70889.in,code1,-1,1.000000e+02
355,data_60-0.34-70889.in,code2,-1,1.000000e+02
356,data_100-0.34-32552.in,code1,-1,1.000000e+02
357,data_100-0.34-32552.in,code2,-1,1.000000e+02
358,data_20-0.64-35661.in,code1,7,2.638600e-02
359,data_20-0.64-35661.in,code2,7,2.084400e-02
360,data_30-0.34-30592.in,code1,5,1.703400e-02
361,data_30-0.34-30592.in,code2,5,1.022000e-02
362,data_10-0.34-14308.in,code1,4,4.100000e-05
363,data_10-0.34-14308.in,code2,4,3.900000e-05
364,data_70-0.58-87626.in,code1,-1,1.000000e+02
365,data_70-0.58-87626.in,code2,-1,1.000000e+02
366,data_20-0.58-11961.in,code1,7,5.895400e-02
367,data_20-0.58-11961.in,code2,7,2.932100e-02
368,data_40-0.64-73752.in,code1,-1,1.000000e+02
369,data_40-0.64-73752.in,code2,-1,1.000000e+02
370,data_60-0.34-82261.in,code1,-1,1.000000e+02
371,data_60-0.34-82261.in,code2,-1,1.000000e+02
372,data_80-0.64-15680.in,code1,-1,1.000000e+02
373,data_80-0.64-15680.in,code2,-1,1.000000e+02
374,data_40-0.5-70889.in,code1,-1,1.000000e+02
375,data_40-0.5-70889.in,code2,-1,1.000000e+02
376,data_50-0.64-85360.in,code1,-1,1.000000e+02
377,data_50-0.64-85360.in,code2,-1,1.000000e+02
378,data_30-0.62-82261.in,code1,9,9.783148e+00
379,data_30-0.62-82261.in,code2,9,7.358270e-01
380,data_60-0.62-15680.in,code1,-1,1.000000e+02
381,data_60-0.62-15680.in,code2,-1,1.000000e+02
382,data_100-0.02-30592.in,code1,-1,1.000000e+02
383,data_100-0.02-30592.in,code2,-1,1.000000e+02
384,data_20-0.62-85360.in,code1,7,1.596800e-02
385,data_20-0.62-85360.in,code2,7,8.660000e-04
386,data_30-0.58-45495.in,code1,8,1.098554e+01
