Exams,Probability,Seed,Code Type,N,Time
72,0.028284271247461905,183,code2,3,9.870030e-01
60,0.028284271247461905,183,code1,3,7.190000e-04
60,0.028284271247461905,183,code2,3,6.700000e-05
32,0.3200000000000002,6757,code1,5,1.752400e-02
32,0.3200000000000002,6757,code2,5,1.418500e-02
4,0.45254833995939064,6757,code1,3,2.000000e-06
4,0.45254833995939064,6757,code2,3,3.000000e-06
12,0.028284271247461905,579,code1,2,2.300000e-05
12,0.028284271247461905,579,code2,2,4.000000e-06
36,0.08000000000000002,183,code1,3,2.404100e-02
36,0.08000000000000002,183,code2,3,2.631500e-02
56,0.02,183,code1,3,8.380000e-04
56,0.02,183,code2,3,2.490000e-04
2,0.05656854249492382,8105,code1,1,3.000000e-06
2,0.05656854249492382,8105,code2,2,2.000000e-06
48,0.05656854249492382,183,code1,3,8.156000e-03
48,0.05656854249492382,183,code2,3,7.206000e-03
60,0.08000000000000002,6757,code1,4,9.931002e+00
60,0.08000000000000002,6757,code2,4,9.938065e+00
24,0.45254833995939064,3648,code1,6,3.904600e-02
24,0.45254833995939064,3648,code2,6,3.426800e-02
16,0.028284271247461905,3648,code1,2,4.400000e-05
16,0.028284271247461905,3648,code2,2,9.000000e-06
4,0.02,3648,code1,1,5.000000e-06
4,0.02,3648,code2,2,2.000000e-06
44,0.05656854249492382,183,code1,3,3.876000e-03
44,0.05656854249492382,183,code2,3,3.627000e-03
16,0.1600000000000001,6757,code1,3,7.900000e-05
16,0.1600000000000001,6757,code2,3,4.300000e-05
80,0.02,183,code1,3,3.894987e+00
80,0.02,183,code2,3,3.901238e+00
8,0.1600000000000001,579,code1,2,1.300000e-05
8,0.1600000000000001,579,code2,2,7.000000e-06
4,0.45254833995939064,579,code1,3,2.000000e-06
4,0.45254833995939064,579,code2,3,2.000000e-06
12,0.08000000000000002,3648,code1,3,2.300000e-05
12,0.08000000000000002,3648,code2,3,1.200000e-05
2,0.028284271247461905,3648,code1,1,2.000000e-06
2,0.028284271247461905,3648,code2,2,3.000000e-06
2,0.22627416997969532,6757,code1,1,3.000000e-06
2,0.22627416997969532,6757,code2,2,2.000000e-06
60,0.05656854249492382,183,code1,3,5.659470e+01
60,0.05656854249492382,183,code2,3,5.689262e+01
20,0.45254833995939064,8105,code1,6,1.134900e-02
20,0.45254833995939064,8105,code2,6,9.919000e-03
32,0.3200000000000002,183,code1,5,2.034700e-02
32,0.3200000000000002,183,code2,5,1.995100e-02
40,0.04000000000000001,6757,code1,3,3.901000e-03
40,0.04000000000000001,6757,code2,3,2.280000e-03
52,0.05656854249492382,6757,code1,3,6.951900e-02
52,0.05656854249492382,6757,code2,3,7.035100e-02
16,0.1600000000000001,3648,code1,3,4.100000e-05
16,0.1600000000000001,3648,code2,3,1.000000e-05
48,0.11313708498984765,6757,code1,4,1.754570e-01
48,0.11313708498984765,6757,code2,4,1.763020e-01
4,0.3200000000000002,579,code1,2,2.000000e-06
4,0.3200000000000002,579,code2,2,2.000000e-06
32,0.3200000000000002,3648,code1,5,2.045311e+00
32,0.3200000000000002,3648,code2,5,2.081927e+00
32,0.028284271247461905,3648,code1,2,4.080000e-04
32,0.028284271247461905,3648,code2,2,1.920000e-04
20,0.45254833995939064,579,code1,5,4.810000e-04
20,0.45254833995939064,579,code2,5,6.410000e-04
48,0.08000000000000002,3648,code1,3,3.023013e+01
48,0.08000000000000002,3648,code2,3,3.065079e+01
24,0.028284271247461905,8105,code1,2,1.280000e-04
24,0.028284271247461905,8105,code2,2,1.100000e-05
2,0.08000000000000002,3648,code1,1,3.000000e-06
2,0.08000000000000002,3648,code2,2,2.000000e-06
52,0.028284271247461905,183,code1,2,7.392500e-02
52,0.028284271247461905,183,code2,2,7.487500e-02
20,0.08000000000000002,183,code1,3,9.200000e-05
20,0.08000000000000002,183,code2,3,1.900000e-05
28,0.02,3648,code1,2,1.730000e-04
28,0.02,3648,code2,2,1.400000e-05
8,0.6400000000000005,6757,code1,5,2.300000e-05
8,0.6400000000000005,6757,code2,5,2.300000e-05
32,0.45254833995939064,183,code1,7,5.498443e+00
32,0.45254833995939064,183,code2,7,5.567570e+00
8,0.028284271247461905,579,code1,1,1.200000e-05
8,0.028284271247461905,579,code2,2,3.000000e-06
24,0.05656854249492382,6757,code1,3,2.760000e-04
24,0.05656854249492382,6757,code2,3,1.340000e-04
28,0.22627416997969532,3648,code1,4,1.720600e-02
28,0.22627416997969532,3648,code2,4,1.622600e-02
16,0.1600000000000001,8105,code1,2,4.900000e-05
16,0.1600000000000001,8105,code2,2,1.000000e-05
36,0.04000000000000001,6757,code1,2,2.870000e-04
36,0.04000000000000001,6757,code2,2,8.500000e-05
32,0.05656854249492382,6757,code1,3,4.960000e-04
32,0.05656854249492382,6757,code2,3,2.270000e-04
24,0.08000000000000002,6757,code1,3,1.670000e-04
24,0.08000000000000002,6757,code2,3,1.050000e-04
32,0.028284271247461905,8105,code1,2,1.870000e-04
32,0.028284271247461905,8105,code2,2,2.700000e-05
68,0.028284271247461905,8105,code1,3,1.012207e+00
68,0.028284271247461905,8105,code2,3,1.004271e+00
76,0.04000000000000001,6757,code1,3,2.662120e-01
76,0.04000000000000001,6757,code2,3,2.617920e-01
16,0.22627416997969532,183,code1,3,5.100000e-05
16,0.22627416997969532,183,code2,3,3.300000e-05
24,0.6400000000000005,579,code1,7,5.011800e-02
24,0.6400000000000005,579,code2,7,4.771300e-02
40,0.08000000000000002,6757,code1,3,5.960000e-04
40,0.08000000000000002,6757,code2,3,3.060000e-04
28,0.028284271247461905,6757,code1,3,8.006300e-02
28,0.028284271247461905,6757,code2,3,8.554900e-02
64,0.04000000000000001,183,code1,3,6.062182e+01
64,0.04000000000000001,183,code2,3,6.078869e+01
20,0.028284271247461905,183,code1,2,8.700000e-05
20,0.028284271247461905,183,code2,2,1.100000e-05
20,0.04000000000000001,579,code1,2,7.100000e-05
20,0.04000000000000001,579,code2,2,8.000000e-06
68,0.02,579,code1,3,3.078144e+00
68,0.02,579,code2,3,3.078639e+00
28,0.02,8105,code1,2,1.720000e-04
28,0.02,8105,code2,2,1.300000e-05
12,0.3200000000000002,579,code1,4,3.900000e-05
12,0.3200000000000002,579,code2,4,1.700000e-05
4,0.45254833995939064,8105,code1,3,3.000000e-06
4,0.45254833995939064,8105,code2,3,3.000000e-06
44,0.04000000000000001,8105,code1,3,1.373629e+00
44,0.04000000000000001,8105,code2,3,1.367282e+00
60,0.04000000000000001,183,code1,3,8.560000e-04
60,0.04000000000000001,183,code2,3,1.040000e-04
8,0.08000000000000002,6757,code1,3,1.500000e-05
8,0.08000000000000002,6757,code2,3,9.000000e-06
24,0.02,6757,code1,2,9.800000e-05
24,0.02,6757,code2,2,1.100000e-05
2,0.05656854249492382,183,code1,1,3.000000e-06
2,0.05656854249492382,183,code2,2,2.000000e-06
8,0.22627416997969532,3648,code1,2,1.300000e-05
8,0.22627416997969532,3648,code2,2,3.000000e-06
4,0.04000000000000001,8105,code1,1,3.000000e-06
4,0.04000000000000001,8105,code2,2,1.000000e-06
56,0.05656854249492382,6757,code1,3,2.773300e-01
56,0.05656854249492382,6757,code2,3,2.792550e-01
2,0.11313708498984765,8105,code1,1,2.000000e-06
2,0.11313708498984765,8105,code2,2,2.000000e-06
28,0.028284271247461905,3648,code1,2,9.997000e-03
28,0.028284271247461905,3648,code2,2,6.163000e-03
20,0.08000000000000002,3648,code1,3,1.060000e-04
20,0.08000000000000002,3648,code2,3,6.400000e-05
4,0.3200000000000002,183,code1,3,2.000000e-06
4,0.3200000000000002,183,code2,3,2.000000e-06
8,0.11313708498984765,3648,code1,2,1.000000e-05
8,0.11313708498984765,3648,code2,2,3.000000e-06
24,0.08000000000000002,3648,code1,3,4.101000e-02
24,0.08000000000000002,3648,code2,3,4.094300e-02
24,0.11313708498984765,579,code1,3,2.070000e-04
24,0.11313708498984765,579,code2,3,1.620000e-04
28,0.08000000000000002,579,code1,3,2.280000e-04
28,0.08000000000000002,579,code2,3,7.300000e-05
56,0.1600000000000001,183,code1,5,2.969335e+00
56,0.1600000000000001,183,code2,5,2.939087e+00
44,0.028284271247461905,3648,code1,3,2.607680e-01
44,0.028284271247461905,3648,code2,3,2.601570e-01
68,0.08000000000000002,579,code1,4,1.699848e+01
68,0.08000000000000002,579,code2,4,1.697797e+01
40,0.02,183,code1,3,1.569303e+01
40,0.02,183,code2,3,1.564352e+01
40,0.3200000000000002,6757,code1,6,5.956630e+00
40,0.3200000000000002,6757,code2,6,6.034283e+00
20,0.22627416997969532,579,code1,4,7.670000e-04
20,0.22627416997969532,579,code2,4,7.470000e-04
4,0.1600000000000001,579,code1,2,4.000000e-06
4,0.1600000000000001,579,code2,2,2.000000e-06
64,0.028284271247461905,183,code1,3,4.832795e+00
64,0.028284271247461905,183,code2,3,4.837646e+00
20,0.11313708498984765,8105,code1,2,8.900000e-05
20,0.11313708498984765,8105,code2,2,1.200000e-05
4,0.1600000000000001,6757,code1,3,2.000000e-06
4,0.1600000000000001,6757,code2,3,3.000000e-06
56,0.05656854249492382,579,code1,3,1.801000e-03
56,0.05656854249492382,579,code2,3,1.059000e-03
88,0.028284271247461905,3648,code1,3,1.464640e-01
88,0.028284271247461905,3648,code2,3,1.479780e-01
36,0.3200000000000002,579,code1,6,4.154294e+01
36,0.3200000000000002,579,code2,6,4.185638e+01
60,0.02,6757,code1,2,1.038360e-01
60,0.02,6757,code2,2,1.006740e-01
52,0.11313708498984765,183,code1,4,2.234540e-01
52,0.11313708498984765,183,code2,4,2.301640e-01
44,0.05656854249492382,3648,code1,3,8.118000e-03
44,0.05656854249492382,3648,code2,3,7.921000e-03
32,0.6400000000000005,8105,code1,9,9.928655e+01
2,0.3200000000000002,579,code1,2,0.000000e+00
2,0.3200000000000002,579,code2,2,3.000000e-06
8,0.02,8105,code1,1,1.400000e-05
8,0.02,8105,code2,2,3.000000e-06
4,0.22627416997969532,3648,code1,2,4.000000e-06
4,0.22627416997969532,3648,code2,2,2.000000e-06
20,0.04000000000000001,183,code1,2,6.800000e-05
20,0.04000000000000001,183,code2,2,1.100000e-05
16,0.04000000000000001,579,code1,2,5.500000e-05
16,0.04000000000000001,579,code2,2,6.000000e-06
